7e463d1f44a4ca96afb9fa36a874ba14fbe0149b20f0aa4ee00fdc667a8aab84,c5023b8a6f501bf83b7aef405c41d1d6997373ebc0f85417af8fa83d85eb092b,e6548a3466daa08d7c29a4ffb15fa3fa8a01a9d020b6f0aee02393ea34c18f12,1e796daf178b10cc979562016d41e05dc23127e4896c746253bbfdbcb77373f0,eb508df275fc509d15e9ce2bbb391a7eb497d30a652e330b5d030cf771c1b99a
"傷害降低","100108608","81001086","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100108609","81001086","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100108701","81001087","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100108702","81001087","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100108703","81001087","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100108704","81001087","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100108705","81001087","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100108706","81001087","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100108707","81001087","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100108708","81001087","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100108801","81001088","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100108802","81001088","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100108803","81001088","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100108804","81001088","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100108805","81001088","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100108806","81001088","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100108807","81001088","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100108808","81001088","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100108901","81001089","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100108902","81001089","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100108903","81001089","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100108904","81001089","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100108905","81001089","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100108906","81001089","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100108907","81001089","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100108908","81001089","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100109001","81001090","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100109002","81001090","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100109003","81001090","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100109004","81001090","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100109005","81001090","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100109006","81001090","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少TP下降","100109007","81001090","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害降低","100109008","81001090","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100109009","81001090","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"持續恢復TP","100109010","81001090","戰鬥開始時，對所有怪物施加持續小幅度恢復ＴＰ狀態。","energy_recover"
"水屬性獎勵特大幅度提升","200100101","82001001","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","13"
"深域怪物","200100102","82001001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","200100103","82001001","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","200100104","82001001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","200100105","82001001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","200100106","82001001","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"水屬性獎勵特大幅度提升","200100201","82001002","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","13"
"深域怪物","200100202","82001002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","200100203","82001002","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","200100204","82001002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","200100205","82001002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","200100206","82001002","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"水屬性獎勵特大幅度提升","200100301","82001003","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","13"
"深域怪物","200100302","82001003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","200100303","82001003","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","200100304","82001003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","200100305","82001003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","200100306","82001003","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"水屬性獎勵特大幅度提升","200100401","82001004","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","13"
"深域怪物","200100402","82001004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","200100403","82001004","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","200100404","82001004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","200100405","82001004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","200100406","82001004","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"水屬性獎勵特大幅度提升","200100501","82001005","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","13"
"深域怪物","200100502","82001005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","200100503","82001005","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","200100504","82001005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","200100505","82001005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","200100506","82001005","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"水屬性獎勵特大幅度提升","200100601","82001006","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","13"
"深域怪物","200100602","82001006","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","200100603","82001006","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","200100604","82001006","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","200100605","82001006","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","200100606","82001006","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"水屬性獎勵特大幅度提升","200100701","82001007","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","13"
"深域怪物","200100702","82001007","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
