07c08dd7a72d72081fec94e6de2a64d85f37b2e77ab84157daa4d18a63e466fb,64fe688964dc32a3ca9f01f5eeb3191b89867818a56d711702f36a1d9dcf61ef,f0b82de589f0f36396fc1a445f5b05e20d610de1d5c4860a48bcea55f95bc12c,aaef30c43244576e8917c811f6fde6b2ec1be485cd4e0cc9540ef36e40728154,5e332c5aaca347a2f77ad37d0c761117b68310675ac868f5b868ea19da6cd34d,8465b9255e35c61f7a0ce19b28349371ecd79b6d2972647396383d88608dea7a,dcb91440f5074d66daec8639c2857055c94132629db87cbae8ae709666edb287,cafccf3a10cc55b8c8bbaa418fb7b60a891b6e0eb4259ccedf6c66affaba0dc1,894324db2a269f33294911f6e34fd28d73765ea5f76ff19a05ec2c5b72b15fe0,c8a1b200956aec1a69539c259a394ea771df2f46798a5533e8e263294feef97e,88893acfc7dfae6f79c2320ab5f3206075ffdb8c895a00344d543640b25ec8ff
"","","11","907","8.38806396344946","-125","33","12","325","","19070011"
"","","","907","","","91","","","","19070012"
"0.1","","127111","907","07_shinobu_talk_loop","0","3","1","07_shinobu_talk_in","0.1","19070013"
"","","1","907","","","93","","0","","19070014"
"","","vo_fpc","907","0","","21","","vo_fpc_20700","","19070015"
"0","0.5","127111","907","1","6","11","0","爸爸去哪裡了呢？\n不要又引起什麼事件就好了……","0","19070016"
"","","0","907","","","91","","","","19070017"
"","","0.5","907","","","93","","0","","19070018"
"","","113111","907","4.11764705882353","-180","2","12","-150","","19070019"
"","","21","907","4.11764705882353","-180","33","12","-150","","19070020"
"","","","907","","","91","","","","19070021"
"0.1","","113111","907","","1","3","","07_ruka_float2","","19070022"
"","","vo_fpc","907","0","","21","","vo_fpc_20701","","19070023"
"0","0.5","113111","907","1","7","11","0","唔，沒想到竟然會在這種地方\n碰到骷髏頭呢……","0","19070024"
"","","0","907","","","91","","","","19070025"
"","","0.5","907","","","93","","0","","19070026"
"","","vo_fpc","907","0","","21","","vo_fpc_20702","","19070027"
"0","0.5","113111","907","1","10","11","0","在那傢伙面前一個驚慌失措，\n我不小心把骷髏頭踢飛了……","0","19070028"
"","","0","907","","","91","","","","19070029"
"","","0.5","907","","","93","","0","","19070030"
"","","vo_fpc","907","0","","21","","vo_fpc_20703","","19070031"
"0","0.5","113111","907","1","7","11","0","從那之後就沒有看到了，\n要是有好好地安息就好……","0","19070032"
"","","0","907","","","91","","","","19070033"
"","","0.5","907","","","93","","0","","19070034"
"0.1","","113111","907","","1","3","","07_ruka_float","","19070035"
"","","vo_fpc","907","0","","21","","vo_fpc_20704","","19070036"
"0","0.5","113111","907","1","8","11","0","說什麼「一起」、「去吧」之類的，\n是在世的時候有什麼怨念嗎？","0","19070037"
"","","0","907","","","91","","","","19070038"
"","","0.5","907","","","93","","0","","19070039"
"","","113111","907","4.52488687782805","-180","2","","850","","19070040"
"","","21","907","4.52488687782805","-180","33","","850","","19070041"
"","","113111","907","","","4","","1","","19070042"
"0.1","","113111","907","","1","3","","07_ruka_float","","19070043"
"","","3.2","907","","","93","","0","","19070044"
"0.1","","127111","907","07_shinobu_turnFace_loop","0","3","1","07_shinobu_turnFace_in","0.1","19070045"
"","","19070040","907","","","91","","","","19070046"
"","","4","907","3.82352941176471","-180","2","","-200","","19070047"
"","","31","907","3.82352941176471","-180","33","","-200","","19070048"
"","","19070047","907","","","91","","","","19070049"
"0.1","","127111","907","07_shinobu_surprise_loop","0","3","1","07_shinobu_surprise_in","0.1","19070050"
"","","vo_fpc","907","0","","21","","vo_fpc_20705","","19070051"
"0","0.5","4","907","1","13","11","0","嗚嗚……小姐……","120","19070052"
"","","0","907","","","91","","","","19070053"
"","","0.5","907","","","93","","0","","19070054"
"0.2","","4","907","","1","3","","07_dokuro_spin","","19070055"
"","","vo_fpc","907","0","","21","","vo_fpc_20706","","19070056"
"0","0.5","4","907","1","6","11","0","小姐，要一起\n去溜滑水道嗎──？\n咕嘿嘿嘿……","120","19070057"
"","","0","907","","","91","","","","19070058"
"","","0.5","907","","","93","","0","","19070059"
"0.1","","127111","907","07_shinobu_sad_loop","0","3","1","07_shinobu_sad_in","0.1","19070060"
"","","vo_fpc","907","0","","21","","vo_fpc_20707","","19070061"
"0","0.5","127111","907","1","7","11","0","看來果然是自作自受呢……\n別管他了吧。","0","19070062"
"","","0","907","","","91","","","","19070063"
"","","0.5","907","","","93","","0","","19070064"
"0.1","","127111","907","07_shinobu_swim_loop","0","3","1","07_shinobu_swim_in","0.1","19070065"
"","","11","907","","","32","","1","","19070066"
"","","127111","907","3.08823529411765","-125","2","","850","","19070067"
"","","11","907","3.08823529411765","-125","33","","850","","19070068"
"0.3","","4","907","","1","3","","07_dokuro_float","","19070069"
"","","4","907","6.17647058823529","-180","2","","850","","19070070"
"","","31","907","6.17647058823529","-180","33","","850","","19070071"
"","","19070070","907","","","91","","","","19070072"
"1.4875","cmn_walk_r","1","908","750","12","1","-15","107811","0","19080001"
"1.75","cmn_swm_tread","1","908","-900","23","1","-180","126911","0","19080002"
"1.75","08_penpokorin","5","908","-900","22","5","-180","5","0","19080003"
"0","","1007","908","-180","-850","31","1","10071","","19080004"
"1","","3","908","-180","-900","31","1","3","","19080005"
"","","se_10053800","908","","1","23","","se_fpc_water_random","","19080006"
"","","19080005","908","","","91","","","","19080007"
"","","126911","908","5.88235294117647","-180","2","12","-100","","19080008"
"","","5","908","5.88235294117647","-180","2","12","-100","","19080009"
"","","3","908","5.88235294117647","-180","33","12","-100","","19080010"
"","","10071","908","5.88235294117647","-180","33","12","-50","","19080011"
"","","2.3","908","","","93","","0","","19080012"
"","","vo_fpc","908","0","","21","","vo_fpc_20800","","19080013"
"","","10071","908","","","32","","1","","19080014"
"","","107811","908","3.30882352941176","-15","2","12","300","","19080015"
"","","19080015","908","","","91","","","","19080016"
"0.1","","107811","908","08_kyaru_surprise_loop","0","3","1","08_kyaru_surprise_in","0.1","19080017"
"","","vo_fpc","908","0","","21","","vo_fpc_20801","","19080018"
"0","0.5","107811","908","1","8","11","0","唔哇，妳那個不是……\n美空帶著的奇怪物體嗎！","0","19080019"
"","","0","908","","","91","","","","19080020"
"","","0.5","908","","","93","","0","","19080021"
"","","vo_fpc","908","0","","21","","vo_fpc_20802","","19080022"
"0","0.5","107811","908","1","9","11","0","為什麼會拿著那個啦！","0","19080023"
"","","0","908","","","91","","","","19080024"
"","","0.5","908","","","93","","0","","19080025"
"0.1","","126911","908","","1","3","","08_ranfa_talk","","19080026"
"0.1","","5","908","","1","3","","08_penpokorin","","19080027"
"","","vo_fpc","908","0","","21","","vo_fpc_20803","","19080028"
"0","0.5","126911","908","1","9","11","0","因為會浮在水上，所以她說\n用來代替游泳圈和沙灘球……\n就借給我了。","0","19080029"
"","","0","908","","","91","","","","19080030"
"","","0.5","908","","","93","","0","","19080031"
"0.1","","126911","908","","1","3","","cmn_swm_tread","","19080032"
"0.1","","5","908","","1","3","","08_penpokorin","","19080033"
"0.1","","107811","908","08_kyaru_talk_loop","0","3","1","08_kyaru_talk_in","0.1","19080034"
"","","vo_fpc","908","0","","21","","vo_fpc_20804","","19080035"
"0","0.5","107811","908","1","11","11","0","這、這樣啊……\n話說回來，那個東西會浮起來啊……","0","19080036"
"","","0","908","","","91","","","","19080037"
"","","0.5","908","","","93","","0","","19080038"
"0.1","","126911","908","","1","3","","08_ranfa_talk","","19080039"
"0.1","","5","908","","1","3","","08_penpokorin","","19080040"
"","","vo_fpc","908","0","","21","","vo_fpc_20805","","19080041"
"0","0.5","126911","908","1","10","11","0","嗯，會浮起來…\n…因為是借來的東西，\n所以不能借給妳……\n但妳好奇的話……要不要摸摸看？","0","19080042"
"","","0","908","","","91","","","","19080043"
"","","0.5","908","","","93","","0","","19080044"
"0.1","","126911","908","","1","3","","cmn_swm_tread","","19080045"
"0.1","","5","908","","1","3","","08_penpokorin","","19080046"
"0.1","","107811","908","08_kyaru_deny_loop","0","3","1","08_kyaru_deny_in","0.1","19080047"
"","","vo_fpc","908","0","","21","","vo_fpc_20806","","19080048"
"0","0.5","107811","908","1","9","11","0","不，不需要啦！\n總覺得那個很可怕啊，真的是……","0","19080049"
"","","0","908","","","91","","","","19080050"
"","","0.5","908","","","93","","0","","19080051"
"","","107811","908","","1","3","","08_kyaru_run","","19080052"
"","","107811","908","2.07390648567119","-15","2","","850","","19080053"
"","","19080053","908","","","91","","","","19080054"
"","","126911","908","4.29864253393665","-180","2","","850","","19080055"
"","","5","908","4.29864253393665","-180","2","","850","","19080056"
"","","3","908","4.29864253393665","-180","33","","850","","19080057"
"","","19080057","908","","","91","","","","19080058"
"1.75","09_jun_spreadFloat","1","909","-850","12","1","-125","113611","0","19090001"
"1.75","09_cmn_float","1","909","-850","12","1","-125","113511","1","19090002"
"1.75","09_cmn_float","1","909","-1050","22","1","-180","113411","0","19090003"
"1.4875","09_misogi_run","1","909","750","12","1","-15","122811","1","19090004"
"1","","4","909","-125","-850","31","1","11","","19090005"
"1","","6","909","-125","-820","31","1","21","","19090006"
"1","","6","909","-180","-1050","31","1","31","","19090007"
"","","se_10053800","909","","1","23","","se_fpc_water_random","","19090008"
"","","19090007","909","","","91","","0","","19090009"
"","","113611","909","6.32352941176471","-125","2","12","225","","19090010"
"","","11","909","6.32352941176471","-125","33","12","225","","19090011"
"","","3","909","","","93","","0","","19090012"
"","","122811","909","5.65610859728507","-15","2","","-750","","19090013"
"","","0.7","909","","","93","","0","","19090014"
"0.1","","113611","909","09_jun_notice_loop","0","3","1","09_jun_notice_in","0.1","19090015"
"","","19090010","909","","","91","","","","19090016"
"0.1","","113611","909","09_jun_alart_loop","0","3","1","09_jun_alart_in","0.1","19090017"
"","","113511","909","4.26470588235294","-125","2","12","-125","","19090018"
"","","21","909","4.26470588235294","-125","33","12","-95","","19090019"
"","","113411","909","4.11764705882353","-180","2","12","-350","","19090020"
"","","31","909","4.11764705882353","-180","33","12","-350","","19090021"
"","","0.5","909","","","93","","0","","19090022"
"","","vo_fpc","909","0","","21","","vo_fpc_20900","","19090023"
"0","0.5","113611","909","1","8","11","0","哎呀……\n在泳池邊奔跑是很危險的喔！","0","19090024"
"","","0","909","","","91","","","","19090025"
"","","0.5","909","","","93","","0","","19090026"
"","","19090018","909","","","91","","","","19090027"
"0.1","","113611","909","09_jun_idle_loop","0","3","1","09_jun_idle_in","0.1","19090028"
"0.1","","113511","909","","1","3","","09_cmn_float_talk","","19090029"
"","","vo_fpc","909","0","","21","","vo_fpc_20901","","19090030"
"0","0.5","113511","909","1","7","11","0","哎呀？\n剛剛好像是純的聲音……","0","19090031"
"","","0","909","","","91","","","","19090032"
"","","0.5","909","","","93","","0","","19090033"
"","","19090033","909","","","91","","","","19090034"
"0.1","","113511","909","","1","3","","09_cmn_float","","19090035"
"0.1","","113411","909","","1","3","","09_cmn_float_search","","19090036"
"","","vo_fpc","909","0","","21","","vo_fpc_20902","","19090037"
"0","0.5","113411","909","1","7","11","0","咦？真的嗎？\n在哪裡？","0","19090038"
"","","0","909","","","91","","","","19090039"
"","","0.5","909","","","93","","0","","19090040"
"0.1","","113611","909","","1","3","","09_jun_talk1_loop","","19090041"
"0.1","","113411","909","","1","3","","09_cmn_float","","19090042"
"","","vo_fpc","909","0","","21","","vo_fpc_20903","","19090043"
"0","0.5","113611","909","1","8","11","0","（美里老師和初音？說起來，\n我一直都穿著鎧甲跟她們見面啊。\n用這個模樣感覺有點羞恥……）","0","19090044"
"","","0","909","","","91","","","","19090045"
"","","0.5","909","","","93","","0","","19090046"
"","","vo_fpc","909","0","","21","","vo_fpc_20904","","19090047"
"0","0.5","113611","909","1","7","11","0","請問……\n妳們是在找什麼人嗎？","0","19090048"
"","","0","909","","","91","","","","19090049"
"","","0.5","909","","","93","","0","","19090050"
"","","113511","909","","","4","","0","","19090051"
"","","21","909","0","-125","33","","-125","","19090052"
"","","113511","909","09_cmn_float_talk","0","3","1","09_cmn_float_notice","0.1","19090053"
"","","vo_fpc","909","0","","21","","vo_fpc_20905","","19090054"
"0","0.5","113511","909","1","9","11","0","是的，是一個總是穿著鎧甲的人……","0","19090055"
"","","0","909","","","91","","","","19090056"
"","","0.5","909","","","93","","0","","19090057"
"0.1","","113411","909","","1","3","","09_cmn_float_smile","","19090058"
"0.1","","113511","909","","1","3","","09_cmn_float","","19090059"
"","","vo_fpc","909","0","","21","","vo_fpc_20906","","19090060"
"0","0.5","113411","909","1","8","11","0","是一個有趣又帥氣的人♪","0","19090061"
"","","0","909","","","91","","","","19090062"
"","","0.5","909","","","93","","0","","19090063"
"0.3","","113611","909","","1","3","","09_jun_talk2_loop","","19090064"
"0.1","","113411","909","","1","3","","09_cmn_float","","19090065"
"","","vo_fpc","909","0","","21","","vo_fpc_20907","","19090066"
"0","0.5","113611","909","1","8","11","0","穿著鎧甲嗎……\n我沒有看到那樣的人呢……","0","19090067"
"","","0","909","","","91","","","","19090068"
"","","0.5","909","","","93","","0","","19090069"
"0.1","","113511","909","","1","3","","09_cmn_float_talk","","19090070"
"","","vo_fpc","909","0","","21","","vo_fpc_20908","","19090071"
"0","0.5","113511","909","1","8","11","0","這樣子啊──\n難道是我的錯覺嗎。","0","19090072"
"","","0","909","","","91","","","","19090073"
"","","0.5","909","","","93","","0","","19090074"
"0.1","","113511","909","","1","3","","09_cmn_float","","19090075"
"","","vo_fpc","909","0","","21","","vo_fpc_20909","","19090076"
"0","0.5","113611","909","1","8","11","0","穿著鎧甲的人是不會\n在這種地方的吧？\n畢竟感覺就不是來游泳的打扮……","0","19090077"
"","","0","909","","","91","","","","19090078"
"","","0.5","909","","","93","","0","","19090079"
"0.1","","113511","909","","1","3","","09_cmn_float_talk","","19090080"
"","","vo_fpc","909","0","","21","","vo_fpc_20910","","19090081"
"0","0.5","113511","909","1","8","11","0","不過，純她\n在盛夏的海邊也是穿著鎧甲吧？","0","19090082"
"","","0","909","","","91","","","","19090083"
"","","0.5","909","","","93","","0","","19090084"
"0.1","","113411","909","","1","3","","09_cmn_float_smile","","19090085"
"0.1","","113511","909","","1","3","","09_cmn_float","","19090086"
"","","vo_fpc","909","0","","21","","vo_fpc_20911","","19090087"
"0","0.5","113411","909","1","10","11","0","嗯！\n她就算在海裡穿著鎧甲也一定沒問題的♪","0","19090088"
"","","0","909","","","91","","","","19090089"
"","","0.5","909","","","93","","0","","19090090"
"0.1","","113611","909","","1","3","","09_jun_talk3_loop","","19090091"
"","","vo_fpc","909","0","","21","","vo_fpc_20912","","19090092"
"0","0.5","113611","909","1","11","11","0","還、還真是個奇怪的人呢……\n啊哈哈哈……","0","19090093"
