e0b6837fdafd1fe2da0eaf99eaa175047e64b453a4f296c44da480974c86a7a9,4ab9d632fd5e565e56483f5691dba5f788ca7d5334e65a6e01dabe29bd752a9b,ba114d7880937d8196c5b636470ff107e46c1bf848daa66c237b70ed8ad1009e,fa76170eea47a72b1a21c5a8e7f23b9596fdfec3c36f1321d34512ecace24c2f,9c8b28d4c49d837f86957e47a4ce15a0170d953099ab94eb53dc6a08b94c3ae3,78f9d07184b9585d128eaa68d7c1a4c8c9311f33dcb381ca3275b0b3576275dd,90262e08cd643ac883138795fba1d62261e00267c3a2ce08efa98bf893a65a2e,44d72bddac519dd74e2a1805da987677c8ef12c4b1312ec3ab8492e10535e6d5,39256866e38961adabbeb4d49c8f4fd772bcb9f2d74c7eab0d68b87bb7784a41,72645734f5f0e16bd4b124950a5e4d3535fc6f40025f64c5aeec7b5d9585a8ca,313259d91d7b300a4f788ff7df94e3e90dc33ac21816372279b925d6fedef0e7
"0","0.5","126911","1","908","0","水に浮くから、浮輪や\nビーチボールのかわりに、って…\n貸してくれたの。","0","11","10","19080029"
"","","0","","908","","","","91","","19080030"
"","","0.5","","908","","0","","93","","19080031"
"0.1","","126911","","908","","cmn_swm_tread","","3","1","19080032"
"0.1","","5","","908","","08_penpokorin","","3","1","19080033"
"0.1","","107811","08_kyaru_talk_loop","908","0.1","08_kyaru_talk_in","1","3","0","19080034"
"","","vo_fpc","0","908","","vo_fpc_20804","","21","","19080035"
"0","0.5","107811","1","908","0","そ、そう…\nそれにしてもそいつ、浮くんだ…","0","11","10","19080036"
"","","0","","908","","","","91","","19080037"
"","","0.5","","908","","0","","93","","19080038"
"0.1","","126911","","908","","08_ranfa_talk","","3","1","19080039"
"0.1","","5","","908","","08_penpokorin","","3","1","19080040"
"","","vo_fpc","0","908","","vo_fpc_20805","","21","","19080041"
"0","0.5","126911","1","908","0","うん、浮く…\n…借り物だから、\n貸してあげられないけれど…\n気になるなら…触ってみる？","0","11","10","19080042"
"","","0","","908","","","","91","","19080043"
"","","0.5","","908","","0","","93","","19080044"
"0.1","","126911","","908","","cmn_swm_tread","","3","1","19080045"
"0.1","","5","","908","","08_penpokorin","","3","1","19080046"
"0.1","","107811","08_kyaru_deny_loop","908","0.1","08_kyaru_deny_in","1","3","0","19080047"
"","","vo_fpc","0","908","","vo_fpc_20806","","21","","19080048"
"0","0.5","107811","1","908","0","いや、いらないから！\nそれ何か怖いのよ、ほんと…","0","11","10","19080049"
"","","0","","908","","","","91","","19080050"
"","","0.5","","908","","0","","93","","19080051"
"","","107811","","908","","08_kyaru_run","","3","1","19080052"
"","","107811","2.07390648567119","908","","850","","2","-15","19080053"
"","","19080053","","908","","","","91","","19080054"
"","","126911","4.29864253393665","908","","850","","2","-180","19080055"
"","","5","4.29864253393665","908","","850","","2","-180","19080056"
"","","3","4.29864253393665","908","","850","","33","-180","19080057"
"","","19080057","","908","","","","91","","19080058"
"1.75","09_jun_spreadFloat","1","-850","909","0","113611","-125","1","12","19090001"
"1.75","09_cmn_float","1","-850","909","1","113511","-125","1","12","19090002"
"1.75","09_cmn_float","1","-1050","909","0","113411","-180","1","22","19090003"
"1.4875","09_misogi_run","1","750","909","1","122811","-15","1","12","19090004"
"1","","4","-125","909","","11","1","31","-850","19090005"
"1","","6","-125","909","","21","1","31","-820","19090006"
"1","","6","-180","909","","31","1","31","-1050","19090007"
"","","se_10053800","","909","","se_fpc_water_random","","23","1","19090008"
"","","19090007","","909","","0","","91","","19090009"
"","","113611","6.32352941176471","909","","225","12","2","-125","19090010"
"","","11","6.32352941176471","909","","225","12","33","-125","19090011"
"","","3","","909","","0","","93","","19090012"
"","","122811","5.65610859728507","909","","-750","","2","-15","19090013"
"","","0.7","","909","","0","","93","","19090014"
"0.1","","113611","09_jun_notice_loop","909","0.1","09_jun_notice_in","1","3","0","19090015"
"","","19090010","","909","","","","91","","19090016"
"0.1","","113611","09_jun_alart_loop","909","0.1","09_jun_alart_in","1","3","0","19090017"
"","","113511","4.26470588235294","909","","-125","12","2","-125","19090018"
"","","21","4.26470588235294","909","","-95","12","33","-125","19090019"
"","","113411","4.11764705882353","909","","-350","12","2","-180","19090020"
"","","31","4.11764705882353","909","","-350","12","33","-180","19090021"
"","","0.5","","909","","0","","93","","19090022"
"","","vo_fpc","0","909","","vo_fpc_20900","","21","","19090023"
"0","0.5","113611","1","909","0","おっと…\nプールサイドを走ったら危ないよ！","0","11","10","19090024"
"","","0","","909","","","","91","","19090025"
"","","0.5","","909","","0","","93","","19090026"
"","","19090018","","909","","","","91","","19090027"
"0.1","","113611","09_jun_idle_loop","909","0.1","09_jun_idle_in","1","3","0","19090028"
"0.1","","113511","","909","","09_cmn_float_talk","","3","1","19090029"
"","","vo_fpc","0","909","","vo_fpc_20901","","21","","19090030"
"0","0.5","113511","1","909","0","あら？\n今、ジュンさんの声がしたような…","0","11","10","19090031"
"","","0","","909","","","","91","","19090032"
"","","0.5","","909","","0","","93","","19090033"
"","","19090033","","909","","","","91","","19090034"
"0.1","","113511","","909","","09_cmn_float","","3","1","19090035"
"0.1","","113411","","909","","09_cmn_float_search","","3","1","19090036"
"","","vo_fpc","0","909","","vo_fpc_20902","","21","","19090037"
"0","0.5","113411","1","909","0","え？　ホント？\nどこだろー？","0","11","10","19090038"
"","","0","","909","","","","91","","19090039"
"","","0.5","","909","","0","","93","","19090040"
"0.1","","113611","","909","","09_jun_talk1_loop","","3","1","19090041"
"0.1","","113411","","909","","09_cmn_float","","3","1","19090042"
"","","vo_fpc","0","909","","vo_fpc_20903","","21","","19090043"
"0","0.5","113611","1","909","0","（ミサト先生とハツネちゃん？\nそういえば鎧姿でしか会ってないな。\nこの姿で会うのは少し気恥ずかしい…）","0","11","10","19090044"
"","","0","","909","","","","91","","19090045"
"","","0.5","","909","","0","","93","","19090046"
"","","vo_fpc","0","909","","vo_fpc_20904","","21","","19090047"
"0","0.5","113611","1","909","0","あのー…\nどなたか探しておられるのですか？","0","11","10","19090048"
"","","0","","909","","","","91","","19090049"
"","","0.5","","909","","0","","93","","19090050"
"","","113511","","909","","0","","4","","19090051"
"","","21","0","909","","-125","","33","-125","19090052"
"","","113511","09_cmn_float_talk","909","0.1","09_cmn_float_notice","1","3","0","19090053"
"","","vo_fpc","0","909","","vo_fpc_20905","","21","","19090054"
"0","0.5","113511","1","909","0","はい、いつも鎧姿の人なんですけど…","0","11","10","19090055"
"","","0","","909","","","","91","","19090056"
"","","0.5","","909","","0","","93","","19090057"
"0.1","","113411","","909","","09_cmn_float_smile","","3","1","19090058"
"0.1","","113511","","909","","09_cmn_float","","3","1","19090059"
"","","vo_fpc","0","909","","vo_fpc_20906","","21","","19090060"
"0","0.5","113411","1","909","0","面白くてかっこいい人なんだ♪","0","11","10","19090061"
"","","0","","909","","","","91","","19090062"
"","","0.5","","909","","0","","93","","19090063"
"0.3","","113611","","909","","09_jun_talk2_loop","","3","1","19090064"
"0.1","","113411","","909","","09_cmn_float","","3","1","19090065"
"","","vo_fpc","0","909","","vo_fpc_20907","","21","","19090066"
"0","0.5","113611","1","909","0","鎧姿ですか…\nそういう人は見かけていませんね…","0","11","10","19090067"
"","","0","","909","","","","91","","19090068"
"","","0.5","","909","","0","","93","","19090069"
"0.1","","113511","","909","","09_cmn_float_talk","","3","1","19090070"
"","","vo_fpc","0","909","","vo_fpc_20908","","21","","19090071"
"0","0.5","113511","1","909","0","そうですかー\n気のせいだったのかしら。","0","11","10","19090072"
"","","0","","909","","","","91","","19090073"
"","","0.5","","909","","0","","93","","19090074"
"0.1","","113511","","909","","09_cmn_float","","3","1","19090075"
"","","vo_fpc","0","909","","vo_fpc_20909","","21","","19090076"
"0","0.5","113611","1","909","0","鎧姿の人はこんな場所には\nいないんじゃないですかね？\n泳ぐ格好じゃなさそうですし…","0","11","10","19090077"
"","","0","","909","","","","91","","19090078"
"","","0.5","","909","","0","","93","","19090079"
"0.1","","113511","","909","","09_cmn_float_talk","","3","1","19090080"
"","","vo_fpc","0","909","","vo_fpc_20910","","21","","19090081"
"0","0.5","113511","1","909","0","でも、ジュンさんは\n真夏の海でも鎧姿だったわよね？","0","11","10","19090082"
"","","0","","909","","","","91","","19090083"
"","","0.5","","909","","0","","93","","19090084"
"0.1","","113411","","909","","09_cmn_float_smile","","3","1","19090085"
"0.1","","113511","","909","","09_cmn_float","","3","1","19090086"
"","","vo_fpc","0","909","","vo_fpc_20911","","21","","19090087"
"0","0.5","113411","1","909","0","うん！\nきっと海の中でも鎧姿で大丈夫だよ♪","0","11","10","19090088"
"","","0","","909","","","","91","","19090089"
"","","0.5","","909","","0","","93","","19090090"
"0.1","","113611","","909","","09_jun_talk3_loop","","3","1","19090091"
"","","vo_fpc","0","909","","vo_fpc_20912","","21","","19090092"
"0","0.5","113611","1","909","0","か、変わった人ですね…\nあははは…","0","11","10","19090093"
"","","0","","909","","","","91","","19090094"
"","","0.5","","909","","0","","93","","19090095"
"","","vo_fpc","0","909","","vo_fpc_20913","","21","","19090096"
"0","0.5","113611","1","909","0","（あとで鎧を着て\nあいさつをしに来よう…）","0","11","10","19090097"
"","","0","","909","","","","91","","19090098"
"","","0.5","","909","","0","","93","","19090099"
"0.1","","113611","09_jun_float_loop","909","0.1","09_jun_float_in","1","3","0","19090100"
"","","113611","3.67647058823529","909","","850","","2","-125","19090101"
"","","11","3.67647058823529","909","","850","","33","-125","19090102"
"","","113511","5.73529411764706","909","","850","","2","-125","19090103"
"","","21","5.73529411764706","909","","850","","33","-125","19090104"
"","","113411","7.05882352941176","909","","850","","2","-180","19090105"
"","","31","7.05882352941176","909","","850","","33","-180","19090106"
"","","19090105","","909","","","","91","","19090107"
"1.75","10_cmn_run","1","-750","910","0","110411","-15","1","22","19100001"
"1.75","10_cmn_run","1","-750","910","0","110511","-15","1","13","19100002"
"1.4875","cmn_run_def_N","1","-750","910","0","107911","-15","1","12","19100003"
"0","","4","-15","910","","11","1","31","-750","19100004"
"0","","117","-180","910","","1171","1","31","50","19100005"
"0","","4","-15","910","","21","1","31","-750","19100006"
"0","","118","-125","910","","1172","1","31","275","19100007"
"0","","119","-15","910","","119","1","31","-50","19100008"
"0","","109","20","910","","12","1","31","-50","19100009"
"0","","108","55","910","","22","1","31","-50","19100010"
"","","se_10053800","","910","","se_fpc_water_random","","23","1","19100011"
"","","19100010","","910","","0","","91","","19100012"
"","","107911","3.16742081447964","910","","-50","","2","-15","19100013"
"","","19100013","","910","","","","91","","19100014"
"0.1","","107911","10_tamaki_handUp_loop","910","0.1","10_tamaki_handUp_in","1","3","0","19100015"
"","","vo_fpc","0","910","","vo_fpc_21000","","21","","19100016"
"0","0.5","107911","1","910","0","にゃっ、にゃっ、にゃ～♪\n水に濡れるのは嫌だけど…","0","11","10","19100017"
"","","0","","910","","","","91","","19100018"
"","","0.5","","910","","0","","93","","19100019"
"","","vo_fpc","0","910","","vo_fpc_21001","","21","","19100020"
"0","0.5","107911","1","910","0","人が多い場所でたい焼きを売る\nチャンスにゃ！　たくさん儲けるにゃー！","0","11","10","19100021"
"","","0","","910","","","","91","","19100022"
"","","0.5","","910","","0","","93","","19100023"
"","","110511","2.07390648567119","910","","-200","","2","-15","19100024"
"","","21","2.07390648567119","910","","-200","","33","-15","19100025"
"","","0.5","","910","","0","","93","","19100026"
"","","vo_fpc","0","910","","vo_fpc_21002","","21","","19100027"
"0","0","110511","1","910","0","いっくさー！\n琉球犬ダーイブさー！","0","11","35","19100028"
"","","19100024","","910","","","","91","","19100029"
"","","se_10053800","","910","","se_10053800_910_jump_kaori","","23","","19100030"
"0.1","","110511","","910","","10_kaori_dive","","3","0","19100031"
"","","1","","910","","0","","93","","19100032"
"0.1","","110511","1","910","","1","0","6","1","19100033"
"","","22","","910","","1","","32","","19100034"
"","","0.2","","910","","0","","93","","19100035"
"","","119","","910","","1","","32","","19100036"
"0.1","","107911","","910","","10_tamaki_wet","","3","1","19100037"
"","","0.5","","910","","0","","93","","19100038"
"","","110511","0","910","","-50","","2","-125","19100039"
"","","21","0","910","","-50","","33","-125","19100040"
"","","0.2","","910","","0","","93","","19100041"
"","","21","","910","","1","","32","","19100042"
"0.7","","110511","1","910","","1","1","6","1","19100043"
"0.1","","110511","10_cmn_float_back","910","0.1","10_cmn_float_back_in","1","3","0","19100044"
"","","110511","1.22549019607843","910","","275","11","2","-125","19100045"
"","","21","1.22549019607843","910","","275","11","33","-125","19100046"
"","","2","","910","","0","","93","","19100047"
"","","110411","2.07390648567119","910","","-220","","2","-15","19100048"
"","","11","2.07390648567119","910","","-220","","33","-15","19100049"
"","","0.5","","910","","0","","93","","19100050"
"","","vo_fpc","0","910","","vo_fpc_21004","","21","","19100051"
"0","0.5","110411","1","910","0","よっしゃ、負けねーぞ！\nウルフェンダーイブ、なんてな！","0","11","35","19100052"
"","","19100048","","910","","","","91","","19100053"
"0.1","","110411","10_makoto_boost_loop","910","0.1","10_makoto_boost_in","1","3","0","19100054"
"","","1.5","","910","","0","","93","","19100055"
"0.1","","110411","","910","","10_makoto_dive","","3","0","19100056"
"","","0.1","","910","","0","","93","","19100057"
"","","se_10053800","","910","","se_10053800_910_jump_makoto","","23","","19100058"
"","","1","","910","","0","","93","","19100059"
"0.1","","110411","1","910","","1","0","6","1","19100060"
"","","12","","910","","1","","32","","19100061"
"","","0.4","","910","","0","","93","","19100062"
"","","119","","910","","0","","32","","19100063"
"","","119","","910","","1","","32","","19100064"
"0.2","","107911","","910","","10_tamaki_wet2","","3","1","19100065"
"","","0.4","","910","","0","","93","","19100066"
"","","110411","0","910","","-50","","2","-180","19100067"
"","","11","0","910","","-50","","33","-180","19100068"
"","","0.2","","910","","0","","93","","19100069"
"","","11","","910","","1","","32","","19100070"
"0.7","","110411","1","910","","1","1","6","1","19100071"
