3f45154b3679c3152c433c5d36a967b27b26222ea0d74988bbf3e03d79c4231e,801cf61fa9a310acfb9925ee8c95bf8be8f04943dce8d4bf488d2a459e95b85e,d2e605415f139beca30a695d0e6ef992aba01cb085c41d5cbb1e726487ea54aa,2dab1efce72b38559e29f2b3ce52e8c6881a89e22b1b6caeeb39bfa72cd59f50,316ff06080f702f81425406d4a8b544fb06480f65ef1662b0858e9d6e63937db
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","425","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92411130"
"ＴＰダウンカット","boss_tp_down_cut","426","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92411130"
"ダメージ減衰","18","427","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92411130"
"ＴＰ上昇上限付与","17","428","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92411130"
"ＨＰ吸収ダウン","9","429","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92411130"
"火属性ボーナス特大アップ","12","430","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92411140"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","431","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92411140"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","432","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92411140"
"ＴＰダウンカット","boss_tp_down_cut","433","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92411140"
"ダメージ減衰","18","434","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92411140"
"ＴＰ上昇上限付与","17","435","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92411140"
"ＨＰ吸収ダウン","9","436","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92411140"
"火属性ボーナス特大アップ","12","437","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92411210"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","438","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92411210"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","439","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92411210"
"ＴＰダウンカット","boss_tp_down_cut","440","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92411210"
"ダメージ減衰","18","441","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92411210"
"ＴＰ上昇上限付与","17","442","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92411210"
"ＨＰ吸収ダウン","9","443","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92411210"
"火属性ボーナス特大アップ","12","444","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92411220"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","445","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92411220"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","446","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92411220"
"ＴＰダウンカット","boss_tp_down_cut","447","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92411220"
"ダメージ減衰","18","448","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92411220"
"ＴＰ上昇上限付与","17","449","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92411220"
"ＨＰ吸収ダウン","9","450","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92411220"
"火属性ボーナス特大アップ","12","451","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92411230"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","452","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92411230"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","453","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92411230"
"ＴＰダウンカット","boss_tp_down_cut","454","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92411230"
"ダメージ減衰","18","455","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92411230"
"ＴＰ上昇上限付与","17","456","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92411230"
"ＨＰ吸収ダウン","9","457","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92411230"
"火属性ボーナス特大アップ","12","458","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92411240"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","459","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92411240"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","460","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92411240"
"ＴＰダウンカット","boss_tp_down_cut","461","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92411240"
"ダメージ減衰","18","462","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92411240"
"ＴＰ上昇上限付与","17","463","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92411240"
"ＨＰ吸収ダウン","9","464","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92411240"
